fecha,provincia,concepto,categoria,valor_real,variacion_interanual_pct,fuente
2022-02,San Juan,Otros impuestos,Otros recursos provinciales,4244279958,,Carga de usuario
2022-02,San Juan,Total,Total recursos provinciales,38169276583,-0.7,Carga de usuario
2022-03,San Juan,Ingresos Brutos,Impuesto provincial,25944063081,13.8,Carga de usuario
2022-03,San Juan,Inmobiliario,Impuesto provincial,1605973719,-9.0,Carga de usuario
2022-03,San Juan,Automotor,Impuesto provincial,13242342624,25.0,Carga de usuario
2022-03,San Juan,Sellos,Impuesto provincial,2507987660,-23.8,Carga de usuario
2022-03,San Juan,DJ,Otros recursos provinciales,1441269.31,,Carga de usuario
2022-03,San Juan,Otros impuestos,Otros recursos provinciales,5335059161,,Carga de usuario
2022-03,San Juan,Total,Total recursos provinciales,48636867514,10.8,Carga de usuario
2022-04,San Juan,Ingresos Brutos,Impuesto provincial,25893696236,-0.8,Carga de usuario
2022-04,San Juan,Inmobiliario,Impuesto provincial,1205077848,3.6,Carga de usuario
2022-04,San Juan,Automotor,Impuesto provincial,5014846011,45.0,Carga de usuario
2022-04,San Juan,Sellos,Impuesto provincial,2341738760,-14.6,Carga de usuario
2022-04,San Juan,DJ,Otros recursos provinciales,888546.43,,Carga de usuario
2022-04,San Juan,Otros impuestos,Otros recursos provinciales,4543239438,,Carga de usuario
2022-04,San Juan,Total,Total recursos provinciales,38999486839,1.0,Carga de usuario
2022-05,San Juan,Ingresos Brutos,Impuesto provincial,26485368004,14.1,Carga de usuario
2022-05,San Juan,Inmobiliario,Impuesto provincial,1189895271,17.3,Carga de usuario
2022-05,San Juan,Automotor,Impuesto provincial,3915500420,39.1,Carga de usuario
2022-05,San Juan,Sellos,Impuesto provincial,2515774805,8.9,Carga de usuario
2022-05,San Juan,DJ,Otros recursos provinciales,1955533.64,,Carga de usuario
2022-05,San Juan,Otros impuestos,Otros recursos provinciales,4591055763,,Carga de usuario
2022-05,San Juan,Total,Total recursos provinciales,38699549797,14.2,Carga de usuario
